Year,Consumer price index (2010 = 100),GDP (constant LCU),GDP (current LCU),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Inflation, consumer prices (annual %)",Livestock production index (2014-2016 = 100),"Official exchange rate (LCU per US$, period average)","Total reserves (includes gold, current US$)","Population, total","Population, female","Population, male",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Trade Openness Index(%),Crude oil price(per barrel in $),Cumulative crude oil production up to and including year,Narrow Money,Money Supply M3,Net Foreign Assets,Net Domestic Credit,Credit to Government,Credit to Private Sector,Base Money,Currency in Circulation,Bank Reserves,Currency Outside Banks,Demand Deposits,Quasi Money,Net Domestic Assets,Credit To GovernmentFed,Mirror Accounts,Other Assets Net,Money Supply M2,CBN Bills,Special Intervention Reserves,GDPBillions of US $,Per CapitaUS $,Growth RateAnnual % Change,Petrol Price (Naira)
1960,0.065885964,9277980000000.0,2997268700.0,0.19179549,93.39704772,-1.834009744,6.257169154,5.444327362,17.19,0.714286,343000000.0,44928342.0,22509554.0,22418787.0,41.00562337,55.66795182,3.326424814,26.16651,1.63,12318.0,217.61,30368977.77,150.28,117.63,8.3,109.33,157.05,154.15,2.9,135.32,82.28,54.79,122.12,2681922.73,-1618844.16,4.49,272.4,2447132.17,258214.99,4.196174502,93.397,0.0,0.05
1961,0.070023041,9295770000000.0,3190921200.0,0.19179549,97.42096828,-1.834009744,6.257169154,6.279147235,17.19,0.714286,307070650.0,45855507.0,22972267.0,22883240.0,40.97740931,55.67817672,3.344413973,25.48501,1.57,29108.0,222.32,30368977.77,163.63,143.77,26.64,117.13,166.96,160.19,6.76,138.2,84.12,70.51,129.2,2681922.73,-1618844.16,-14.56,292.83,2447132.17,258214.99,4.467287893,97.421,0.1918,0.05
1962,0.073710197,9677180000000.0,3506715100.0,4.102992589,104.8527493,1.954451077,5.5653009,5.265632346,15.71,0.714286,289024970.0,46821845.0,23454102.0,23367743.0,40.98540115,55.65455291,3.360045936,21.8295,1.53,53745.0,242.14,30368977.77,156.34,187.0,38.22,148.78,177.51,174.66,2.85,149.96,92.18,83.29,169.09,2681922.73,-1618844.16,-17.91,325.43,2447132.17,258214.99,4.909399176,104.8527,4.103,0.05
1963,0.071723961,10507300000000.0,3689708800.0,8.578618915,108.0157416,6.30652789,-3.09475245,-2.694655352,15.95,0.714286,210030680.0,47822569.0,23952407.0,23870161.0,41.07478564,55.55440315,3.37081121,22.31646,1.5,81668.0,267.55,30368977.77,133.45,237.57,67.07,170.5,185.46,183.3,2.16,168.98,98.57,94.27,228.37,2681922.73,-1618844.16,-9.2,361.82,2447132.17,258214.99,5.165590254,108.0157,8.5786,0.05
1964,0.072338487,11027500000000.0,3966381100.0,4.950488666,113.6583753,2.729815775,2.427808985,0.856793146,17.6,0.714286,228053520.0,48856332.0,24467983.0,24388349.0,41.26706647,55.35880897,3.374124566,24.61532,1.45,125661.0,316.06,30368977.77,124.89,306.08,83.13,222.96,217.02,214.71,2.31,197.89,118.17,114.43,305.59,2681922.73,-1618844.16,-0.49,430.49,2447132.17,258214.99,5.552931319,113.6584,4.9505,0.05
1965,0.075306867,11566200000000.0,4196100000.0,4.884976834,117.6653708,2.638222175,0.864444953,4.103458738,18.54,0.714286,239053520.0,49925799.0,25001034.0,24924766.0,41.44872373,55.18143736,3.369838908,26.9107,1.42,225744.0,326.36,30368977.77,154.6,313.09,80.48,232.61,220.48,217.89,2.6,200.94,125.41,141.02,312.78,2681922.73,-1618844.16,-0.31,467.37,2447132.17,258214.99,5.87453765,117.6654,4.885,0.05
1966,0.082604363,11074600000000.0,4547800000.0,-4.250514184,124.7918564,-6.304550189,13.19287149,9.690346084,18.07,0.714286,215353490.0,51020296.0,25544212.0,25476085.0,41.58016114,55.06090895,3.358929911,25.03628,1.36,378168.0,355.62,30368977.77,126.49,381.74,136.18,245.56,239.87,236.51,3.36,217.17,138.45,162.52,391.65,2681922.73,-1618844.16,9.91,518.14,2447132.17,258214.99,6.366917453,124.7919,-4.2505,0.05
1967,0.079526246,9331040000000.0,3716600000.0,-15.74362821,99.85740444,-17.50031001,-3.006705394,-3.726336765,20.08,0.714286,112359200.0,52106681.0,26089879.0,26016803.0,41.7219239,54.93941118,3.338664927,28.4884,1.33,494640.0,320.09,30368977.77,46.72,432.86,191.35,241.51,226.73,220.95,5.78,207.42,112.67,131.24,404.61,2681922.73,-1618844.16,-28.25,451.34,2447132.17,258214.99,5.203237919,99.8574,-15.7436,0.05
1968,0.079147654,9214550000000.0,3715000000.0,-1.248360246,97.74452712,-3.296209676,1.220546969,-0.476059059,19.82,0.714286,121194900.0,53210119.0,26650321.0,26559798.0,41.86627265,54.81777536,3.31595199,25.66353,1.32,546355.0,331.76,30368977.77,64.16,574.25,351.41,222.84,205.67,202.16,3.51,183.1,148.67,183.55,451.16,2681922.73,-1618844.16,-123.09,515.31,2447132.17,258214.99,5.20099792,97.7445,-1.2484,0.05
1969,0.087185874,11444200000000.0,4738800000.0,24.19738395,122.0424175,21.56855046,2.706306994,10.1559792,23.16,0.714286,132459200.0,54360750.0,27231346.0,27129404.0,42.00882806,54.69332561,3.297846332,26.82114,1.27,743565.0,444.99,30368977.77,87.8,761.94,512.19,249.74,277.91,273.23,4.68,252.71,192.28,215.41,572.59,2681922.73,-1618844.16,-189.34,660.4,2447132.17,258214.99,6.634317346,122.0424,24.1974,0.05
